<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.SBER:SMAL,1,20230131,174800,155.0000000,155.0000000,154.0000000,154.0000000,103
MOEX.SBER:SMAL,1,20230131,174900,154.0000000,154.0000000,154.0000000,154.0000000,27
MOEX.SBER:SMAL,1,20230131,175000,154.0000000,154.0000000,154.0000000,154.0000000,45
MOEX.SBER:SMAL,1,20230131,175100,154.0000000,154.0000000,154.0000000,154.0000000,16
MOEX.SBER:SMAL,1,20230131,175700,155.0000000,155.0000000,155.0000000,155.0000000,1
MOEX.SBER:SMAL,1,20230131,190800,157.9800000,157.9800000,157.9800000,157.9800000,1
MOEX.SBER:SMAL,1,20230131,224600,157.0000000,157.0000000,157.0000000,157.0000000,1
MOEX.SBER:SMAL,1,20230131,232900,157.7800000,157.7800000,157.7800000,157.7800000,1
MOEX.SBER:SMAL,1,20230131,234800,155.2200000,155.2200000,155.2200000,155.2200000,3
MOEX.SBER:SMAL,1,20230201,100800,155.7900000,155.7900000,155.7900000,155.7900000,2
MOEX.SBER:SMAL,1,20230201,102600,155.7900000,155.7900000,155.7900000,155.7900000,5
MOEX.SBER:SMAL,1,20230201,104100,159.0000000,159.3200000,155.7900000,155.7900000,11
MOEX.SBER:SMAL,1,20230201,111100,155.7900000,155.7900000,155.7900000,155.7900000,2
MOEX.SBER:SMAL,1,20230201,115000,156.2000000,156.2000000,156.2000000,156.2000000,1
MOEX.SBER:SMAL,1,20230201,115400,156.2000000,157.3000000,156.2000000,157.3000000,9
MOEX.SBER:SMAL,1,20230201,135700,159.2400000,159.2400000,159.2400000,159.2400000,1
MOEX.SBER:SMAL,1,20230201,150100,159.2500000,159.2900000,159.2500000,159.2900000,3
MOEX.SBER:SMAL,1,20230201,151300,156.2000000,156.2000000,156.2000000,156.2000000,4
MOEX.SBER:SMAL,1,20230201,170500,158.0000000,158.0000000,158.0000000,158.0000000,2
MOEX.SBER:SMAL,1,20230201,171100,156.2000000,156.2000000,156.2000000,156.2000000,2
MOEX.SBER:SMAL,1,20230201,180800,156.2000000,156.2000000,156.0000000,156.0000000,126
MOEX.SBER:SMAL,1,20230201,181400,158.7700000,158.7700000,158.7700000,158.7700000,3
MOEX.SBER:SMAL,1,20230201,215500,158.6600000,158.6600000,158.6600000,158.6600000,8
MOEX.SBER:SMAL,1,20230201,215600,158.6600000,158.6700000,158.6600000,158.6700000,10
MOEX.SBER:SMAL,1,20230202,101200,155.7500000,155.7500000,155.7500000,155.7500000,3
MOEX.SBER:SMAL,1,20230202,104500,155.8700000,155.8700000,155.8700000,155.8700000,2
MOEX.SBER:SMAL,1,20230202,113700,156.7100000,156.7100000,156.7100000,156.7100000,1
MOEX.SBER:SMAL,1,20230202,122200,156.7200000,156.7200000,156.7200000,156.7200000,1
MOEX.SBER:SMAL,1,20230202,124600,156.7300000,156.7300000,156.7300000,156.7300000,7
MOEX.SBER:SMAL,1,20230202,131100,158.6000000,158.6000000,156.8300000,156.8300000,8
MOEX.SBER:SMAL,1,20230202,134000,156.8900000,156.8900000,156.8900000,156.8900000,2
MOEX.SBER:SMAL,1,20230202,141900,158.6200000,158.6200000,158.6200000,158.6200000,1
